tmax;alpha;dx;dt;stable;nb_iteration;erreur
500.0;0.0001;0.00858369098712446;6.66666666666667;0;76;1.74295148129158e+113
500.0;0.0001;0.00858369098712446;8.33333333333333;0;60;3.46180480492557e+94
500.0;0.0001;0.00858369098712446;10.0;0;51;7.99288159384851e+83
500.0;0.0001;0.00858369098712446;11.6666666666667;0;43;1.18824771377042e+73
500.0;0.0001;0.00858369098712446;13.3333333333333;0;38;2.39313714197698e+66
500.0;0.0001;0.00858369098712446;15.0;0;34;5.80156938599013e+60
500.0;0.0001;0.00858369098712446;16.6666666666667;0;30;3.73286917958039e+54
500.0;0.0001;0.00858369098712446;18.3333333333333;0;28;7.29157329903319e+51
500.0;0.0001;0.00858369098712446;20.0;0;26;7.80301623574374e+48
500.0;0.0001;0.00854700854700855;5.0;0;101;1.44125000540002e+139
500.0;0.0001;0.00854700854700855;6.66666666666667;0;76;3.39016828899687e+113
500.0;0.0001;0.00854700854700855;8.33333333333333;0;60;5.83081701874926e+94
500.0;0.0001;0.00854700854700855;10.0;0;51;1.24211662950853e+84
500.0;0.0001;0.00854700854700855;11.6666666666667;0;43;1.7203217315444e+73
500.0;0.0001;0.00854700854700855;13.3333333333333;0;38;3.31498852702058e+66
500.0;0.0001;0.00854700854700855;15.0;0;34;7.75836293799679e+60
500.0;0.0001;0.00854700854700855;16.6666666666667;0;30;4.82014978400084e+54
500.0;0.0001;0.00854700854700855;18.3333333333333;0;28;9.25139416890573e+51
500.0;0.0001;0.00854700854700855;20.0;0;26;9.72856852116356e+48
500.0;0.0001;0.00851063829787234;5.0;0;101;3.50934164560912e+139
500.0;0.0001;0.00851063829787234;6.66666666666667;0;76;6.57437800320856e+113
500.0;0.0001;0.00851063829787234;8.33333333333333;0;60;9.79820617177596e+94
500.0;0.0001;0.00851063829787234;10.0;0;51;1.92652136481509e+84
500.0;0.0001;0.00851063829787234;11.6666666666667;0;43;2.48659264733611e+73
500.0;0.0001;0.00851063829787234;13.3333333333333;0;38;4.58538371007625e+66
500.0;0.0001;0.00851063829787234;15.0;0;34;1.0361977713076e+61
500.0;0.0001;0.00851063829787234;16.6666666666667;0;30;6.21718696381194e+54
500.0;0.0001;0.00851063829787234;18.3333333333333;0;28;1.17258127417349e+52
500.0;0.0001;0.00851063829787234;20.0;0;26;1.21176662038791e+49
500.0;0.0001;0.00847457627118644;5.0;0;101;8.51032754193899e+139
500.0;0.0001;0.00847457627118644;6.66666666666667;0;76;1.27115211589788e+114
500.0;0.0001;0.00847457627118644;8.33333333333333;0;60;1.64271872733504e+95
500.0;0.0001;0.00847457627118644;10.0;0;51;2.98225888121933e+84
500.0;0.0001;0.00847457627118644;11.6666666666667;0;43;3.5883780895841e+73
500.0;0.0001;0.00847457627118644;13.3333333333333;0;38;6.33364976933115e+66
500.0;0.0001;0.00847457627118644;15.0;0;34;1.38219093730054e+61
500.0;0.0001;0.00847457627118644;16.6666666666667;0;30;8.010270929093e+54
500.0;0.0001;0.00847457627118644;18.3333333333333;0;28;1.48467876093613e+52
500.0;0.0001;0.00847457627118644;20.0;0;26;1.50791297154393e+49
500.0;0.0001;0.00843881856540084;5.0;0;101;2.055501400862e+140
500.0;0.0001;0.00843881856540084;6.66666666666667;0;76;2.45053910181157e+114
500.0;0.0001;0.00843881856540084;8.33333333333333;0;60;2.74782037809033e+95
500.0;0.0001;0.00843881856540084;10.0;0;51;4.60770224254725e+84
500.0;0.0001;0.00843881856540084;11.6666666666667;0;43;5.1700714351515e+73
500.0;0.0001;0.00843881856540084;13.3333333333333;0;38;8.73619931278976e+66
500.0;0.0001;0.00843881856540084;15.0;0;34;1.84141236141358e+61
500.0;0.0001;0.00843881856540084;16.6666666666667;0;30;1.03091904911595e+55
500.0;0.0001;0.00843881856540084;18.3333333333333;0;28;1.87793129570999e+52
500.0;0.0001;0.00843881856540084;20.0;0;26;1.8746681796374e+49
500.0;0.0001;0.00840336134453781;5.0;0;101;4.94488842284522e+140
500.0;0.0001;0.00840336134453781;6.66666666666667;0;76;4.71040944947062e+114
500.0;0.0001;0.00840336134453781;8.33333333333333;0;60;4.58596639894898e+95
500.0;0.0001;0.00840336134453781;10.0;0;51;7.10556183575635e+84
500.0;0.0001;0.00840336134453781;11.6666666666667;0;43;7.43713764680181e+73
500.0;0.0001;0.00840336134453781;13.3333333333333;0;38;1.20333486652412e+67
500.0;0.0001;0.00840336134453781;15.0;0;34;2.45017119711316e+61
500.0;0.0001;0.00840336134453781;16.6666666666667;0;30;1.32534867253061e+55
500.0;0.0001;0.00840336134453781;18.3333333333333;0;28;2.37294900089039e+52
500.0;0.0001;0.00840336134453781;20.0;0;26;2.32845001661603e+49
500.0;2.0e-06;0.00836820083682008;5.0;1;101;0.00132473418601908
500.0;2.0e-06;0.00836820083682008;6.66666666666667;1;76;0.00131466546888878
500.0;2.0e-06;0.00836820083682008;8.33333333333333;1;60;0.001334001580873
500.0;2.0e-06;0.00836820083682008;10.0;1;51;0.00129469079063921
500.0;2.0e-06;0.00836820083682008;11.6666666666667;1;43;0.00131960119688479
500.0;2.0e-06;0.00836820083682008;13.3333333333333;1;38;0.00129786353329188
500.0;2.0e-06;0.00836820083682008;15.0;1;34;0.00128216896751652
500.0;2.0e-06;0.00836820083682008;16.6666666666667;1;30;0.00131278460120708
500.0;2.0e-06;0.00836820083682008;18.3333333333333;0;28;0.00150875469329653
500.0;2.0e-06;0.00836820083682008;20.0;0;26;0.0499001941013948
500.0;2.0e-06;0.00833333333333333;5.0;1;101;0.0013219557261072
500.0;2.0e-06;0.00833333333333333;6.66666666666667;1;76;0.00131190735130948
500.0;2.0e-06;0.00833333333333333;8.33333333333333;1;60;0.0013312035204183
500.0;2.0e-06;0.00833333333333333;10.0;1;51;0.00129197304005411
500.0;2.0e-06;0.00833333333333333;11.6666666666667;1;43;0.00131683205313275
500.0;2.0e-06;0.00833333333333333;13.3333333333333;1;38;0.00129513867249627
500.0;2.0e-06;0.00833333333333333;15.0;1;34;0.0012794760097022
500.0;2.0e-06;0.00833333333333333;16.6666666666667;1;30;0.00131003425634209
500.0;2.0e-06;0.00833333333333333;18.3333333333333;0;28;0.00180469879038293
500.0;2.0e-06;0.00833333333333333;20.0;0;26;0.0733672198755192
500.0;2.0e-06;0.00829875518672199;5.0;1;101;0.001319194830297
500.0;2.0e-06;0.00829875518672199;6.66666666666667;1;76;0.00130916667725069
500.0;2.0e-06;0.00829875518672199;8.33333333333333;1;60;0.00132842314961502
500.0;2.0e-06;0.00829875518672199;10.0;1;51;0.00128927249359194
500.0;2.0e-06;0.00829875518672199;11.6666666666667;1;43;0.00131408042951623
500.0;2.0e-06;0.00829875518672199;13.3333333333333;1;38;0.00129243106544546
500.0;2.0e-06;0.00829875518672199;15.0;1;34;0.00127680011445063
500.0;2.0e-06;0.00829875518672199;16.6666666666667;1;30;0.00130731177890206
500.0;2.0e-06;0.00829875518672199;18.3333333333333;0;28;0.00237131127378337
500.0;2.0e-06;0.00829875518672199;20.0;0;26;0.107436856662631
500.0;2.0e-06;0.00826446280991736;5.0;1;101;0.00131645131280864
500.0;2.0e-06;0.00826446280991736;6.66666666666667;1;76;0.00130644326209306
500.0;2.0e-06;0.00826446280991736;8.33333333333333;1;60;0.00132566028133254
500.0;2.0e-06;0.00826446280991736;10.0;1;51;0.00128658896893917
500.0;2.0e-06;0.00826446280991736;11.6666666666667;1;43;0.00131134614050734
500.0;2.0e-06;0.00826446280991736;13.3333333333333;1;38;0.00128974052923465
500.0;2.0e-06;0.00826446280991736;15.0;1;34;0.00127414110073074
500.0;2.0e-06;0.00826446280991736;16.6666666666667;1;30;0.00130463532024496
500.0;2.0e-06;0.00826446280991736;18.3333333333333;0;28;0.0033558030301385
500.0;2.0e-06;0.00826446280991736;20.0;0;26;0.156702675355805
500.0;2.0e-06;0.00823045267489712;5.0;1;101;0.00131372499062145
500.0;2.0e-06;0.00823045267489712;6.66666666666667;1;76;0.0013037369239613
500.0;2.0e-06;0.00823045267489712;8.33333333333333;1;60;0.00132291473121991
500.0;2.0e-06;0.00823045267489712;10.0;1;51;0.0012839222864962
500.0;2.0e-06;0.00823045267489712;11.6666666666667;1;43;0.00130862900333749
500.0;2.0e-06;0.00823045267489712;13.3333333333333;1;38;0.00128706688368297
500.0;2.0e-06;0.00823045267489712;15.0;1;34;0.00127149879021599
500.0;2.0e-06;0.00823045267489712;16.6666666666667;1;30;0.00130205426781366
500.0;2.0e-06;0.00823045267489712;18.3333333333333;0;28;0.00495490826816112
500.0;2.0e-06;0.00823045267489712;20.0;0;26;0.227668061341823
500.0;2.0e-06;0.00819672131147541;5.0;1;101;0.00131101568342115
500.0;2.0e-06;0.00819672131147541;6.66666666666667;1;76;0.00130104748367161
500.0;2.0e-06;0.00819672131147541;8.33333333333333;1;60;0.00132018631765259
500.0;2.0e-06;0.00819672131147541;10.0;1;51;0.0012812722693253
500.0;2.0e-06;0.00819672131147541;11.6666666666667;1;43;0.00130592883794452
500.0;2.0e-06;0.00819672131147541;13.3333333333333;1;38;0.00128440995128116
500.0;2.0e-06;0.00819672131147541;15.0;1;34;0.00126887300724686
500.0;2.0e-06;0.00819672131147541;16.6666666666667;1;30;0.00129970072350641
500.0;2.0e-06;0.00819672131147541;18.3333333333333;0;28;0.00745393985994645
500.0;2.0e-06;0.00819672131147541;20.0;0;26;0.329507200882492
500.0;2.0e-06;0.00816326530612245;5.0;1;101;0.00130832321354834
500.0;2.0e-06;0.00816326530612245;6.66666666666667;1;76;0.00129837476468039
500.0;2.0e-06;0.00816326530612245;8.33333333333333;1;60;0.00131747486168059
500.0;2.0e-06;0.00816326530612245;10.0;1;51;0.00127863874309982
500.0;2.0e-06;0.00816326530612245;11.6666666666667;1;43;0.00130324546692112
500.0;2.0e-06;0.00816326530612245;13.3333333333333;1;38;0.00128176955714061
500.0;2.0e-06;0.00816326530612245;15.0;1;34;0.00126626357882915
500.0;2.0e-06;0.00816326530612245;16.6666666666667;1;30;0.00129792297554424
500.0;2.0e-06;0.00816326530612245;18.3333333333333;0;28;0.0112795236353802
500.0;2.0e-06;0.00816326530612245;20.0;0;26;0.475116765490398
500.0;2.0e-06;0.00813008130081301;5.0;1;101;0.00130564740594805
500.0;2.0e-06;0.00813008130081301;6.66666666666667;1;76;0.00129571859303412
500.0;2.0e-06;0.00813008130081301;8.33333333333333;1;60;0.0013147801869777
500.0;2.0e-06;0.00813008130081301;10.0;1;51;0.00127602153605448
500.0;2.0e-06;0.00813008130081301;11.6666666666667;1;43;0.00130057871546431
500.0;2.0e-06;0.00813008130081301;13.3333333333333;1;38;0.00127914552894344
500.0;2.0e-06;0.00813008130081301;15.0;1;34;0.00126367033474875
500.0;2.0e-06;0.00813008130081301;16.6666666666667;1;30;0.00129762644834497
500.0;2.0e-06;0.00813008130081301;18.3333333333333;0;28;0.0170681643971265
500.0;2.0e-06;0.00813008130081301;20.0;0;26;0.682564637600602
500.0;2.0e-06;0.00809716599190283;5.0;1;101;0.00130298808812069
500.0;2.0e-06;0.00809716599190283;6.66666666666667;1;76;0.0012930787973204
500.0;2.0e-06;0.00809716599190283;8.33333333333333;1;60;0.00131210211979191
500.0;2.0e-06;0.00809716599190283;10.0;1;51;0.00127342047893692
500.0;2.0e-06;0.00809716599190283;11.6666666666667;1;43;0.00129792841132625
500.0;2.0e-06;0.00809716599190283;13.3333333333333;1;38;0.0012765376968938
500.0;2.0e-06;0.00809716599190283;15.0;1;34;0.00126109310806615
500.0;2.0e-06;0.00809716599190283;16.6666666666667;1;30;0.0013011279030151
500.0;2.0e-06;0.00809716599190283;18.3333333333333;0;28;0.0257618491809162
500.0;2.0e-06;0.00809716599190283;20.0;0;26;0.977079280800756
500.0;2.0e-06;0.00806451612903226;5.0;1;101;0.00130034509007393
500.0;2.0e-06;0.00806451612903226;6.66666666666667;1;76;0.00129045520862015
500.0;2.0e-06;0.00806451612903226;8.33333333333333;1;60;0.00130944048889712
500.0;2.0e-06;0.00806451612903226;10.0;1;51;0.00127083540496035
500.0;2.0e-06;0.00806451612903226;11.6666666666667;1;43;0.00129529438476616
500.0;2.0e-06;0.00806451612903226;13.3333333333333;1;38;0.00127394589367039
500.0;2.0e-06;0.00806451612903226;15.0;1;34;0.001258531736832
500.0;2.0e-06;0.00806451612903226;16.6666666666667;1;30;0.00131422903345914
500.0;2.0e-06;0.00806451612903226;18.3333333333333;0;28;0.0387450882024087
500.0;2.0e-06;0.00806451612903226;20.0;0;26;1.39377310792319
500.0;7.33333333333333e-06;0.00836820083682008;5.0;0;101;0.230178780400596
500.0;7.33333333333333e-06;0.00836820083682008;6.66666666666667;0;76;672974858827670.0
500.0;7.33333333333333e-06;0.00836820083682008;8.33333333333333;0;60;2.8493053347674e+19
500.0;7.33333333333333e-06;0.00836820083682008;10.0;0;51;2.72168481431762e+21
